20,20
GC,0,TKI
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WTC,0,X
WC,0,X
WC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,TKI
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
FC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,1,X
SLE,D
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
TC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,1,X
SLE,D
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
TD4,0,X
WC,0,X
GC,0,X
GC,0,X
WC,0,X
GOC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,1,X
STE,R
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,FI
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
TC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,TKI
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
