27,27
SLE,R
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,1,X
SLE,L
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,BKI
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
WC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,1,X
SLE,R
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,1,X
WFE,U
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WTC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
TD8,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GD,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
FC,0,X
FC,0,X
FC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
TC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,FBI
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
FC,0,X
FC,0,X
FC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
FC,0,X
FC,0,X
FC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
FC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,1,X
STE,D
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,FI
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,1,X
DTE,L
WC,0,X
GC,0,X
GC,0,X
GC,1,X
STE,R
GC,0,X
GC,0,X
GC,0,X
WTC,0,X
GC,0,X
GC,1,X
U,D
GC,0,X
WTC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WTC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,1,X
SLE,L
WC,0,X
WC,0,X
GC,0,X
GC,0,TKI
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WTC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,1,X
SLE,R
GC,0,X
WC,0,X
WC,0,X
GC,1,X
DTE,U
GC,0,X
GC,0,X
WC,0,X
GC,0,X
FC,0,X
GC,0,X
FC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
FC,0,X
GC,0,X
GC,0,X
GC,0,X
FC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
FC,0,X
GC,0,X
FC,0,X
FC,0,X
FC,0,X
FC,0,X
FC,0,X
GC,0,X
FC,0,X
FC,0,X
FC,0,X
GC,0,X
FC,0,X
GC,0,X
FC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
FC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
FC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
FC,0,X
FC,0,X
GC,0,X
GC,0,X
GC,0,X
FC,0,X
FC,0,X
FC,0,X
FC,0,X
FC,0,X
FC,0,X
FC,0,X
FC,0,X
GC,0,X
FC,0,X
GC,0,X
WC,0,X
GC,1,X
SLE,R
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
TC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,TKI
FC,0,X
GC,0,X
FC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,TKI
GC,0,X
GC,0,X
GC,0,X
GC,0,X
FC,0,X
GC,0,X
BD,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
